model,brand,line,capacity_tb,rpm,cache_mb,interface,form_factor,rec_tech,class,in_production,confidence,notes
WD240KFGX,WD,Red Pro,24,7200,512,SATA,3.5,CMR,NAS-Pro,yes,medium,newest ePMR CMR
WD1005FBYZ,WD,Gold,1,7200,128,SATA,3.5,CMR,Enterprise,yes,medium,
WD2005FBYZ,WD,Gold,2,7200,128,SATA,3.5,CMR,Enterprise,yes,medium,
WD4004FRYZ,WD,Gold,4,7200,256,SATA,3.5,CMR,Enterprise,yes,medium,
WD6004FRYZ,WD,Gold,6,7200,256,SATA,3.5,CMR,Enterprise,yes,medium,
WD8004FRYZ,WD,Gold,8,7200,256,SATA,3.5,CMR,Enterprise,yes,medium,
WD102KRYZ,WD,Gold,10,7200,256,SATA,3.5,CMR,Enterprise,yes,high,
WD121KRYZ,WD,Gold,12,7200,256,SATA,3.5,CMR,Enterprise,yes,high,
WD142KRYZ,WD,Gold,14,7200,512,SATA,3.5,CMR,Enterprise,yes,high,
WD161KRYZ,WD,Gold,16,7200,512,SATA,3.5,CMR,Enterprise,yes,high,
WD181KRYZ,WD,Gold,18,7200,512,SATA,3.5,CMR,Enterprise,yes,high,
WD202KRYZ,WD,Gold,20,7200,512,SATA,3.5,CMR,Enterprise,yes,medium,
WD221KRYZ,WD,Gold,22,7200,512,SATA,3.5,CMR,Enterprise,yes,medium,
WD241KRYZ,WD,Gold,24,7200,512,SATA,3.5,CMR,Enterprise,yes,medium,newest
HUS728T8TALE6L4,WD,Ultrastar DC HC320,8,7200,256,SATA,3.5,CMR,Enterprise,yes,medium,
WUS721010ALE6L4,WD,Ultrastar DC HC330,10,7200,256,SATA,3.5,CMR,Enterprise,yes,medium,
HUH721212ALE604,WD,Ultrastar DC HC520,12,7200,256,SATA,3.5,CMR,Enterprise,yes,medium,
WUH721414ALE6L4,WD,Ultrastar DC HC530,14,7200,512,SATA,3.5,CMR,Enterprise,yes,high,
WUH721816ALE6Lx,WD,Ultrastar DC HC550,16,7200,512,SATA,3.5,CMR,Enterprise,yes,high,Backblaze AFR; merged SKUs L0/L4
WUH721818ALE6L4,WD,Ultrastar DC HC550,18,7200,512,SATA,3.5,CMR,Enterprise,yes,high,
WUH722020BLE6L4,WD,Ultrastar DC HC560,20,7200,512,SATA,3.5,CMR,Enterprise,yes,medium,
WUH722222ALE6L4,WD,Ultrastar DC HC570,22,7200,512,SATA,3.5,CMR,Enterprise,yes,medium,
WUH722424ALE6L4,WD,Ultrastar DC HC580,24,7200,512,SATA,3.5,CMR,Enterprise,yes,medium,
WUH721414AL5204,WD,Ultrastar DC HC530,14,7200,512,SAS,3.5,CMR,Enterprise,yes,medium,SAS variant
WD8001PURP,WD,Purple Pro,8,7200,256,SATA,3.5,CMR,Surveillance,yes,medium,
WD101PURP,WD,Purple Pro,10,7200,256,SATA,3.5,CMR,Surveillance,yes,medium,
WD121PURP,WD,Purple Pro,12,7200,256,SATA,3.5,CMR,Surveillance,yes,medium,
WD141PURP,WD,Purple Pro,14,7200,512,SATA,3.5,CMR,Surveillance,yes,medium,
WD181PURP,WD,Purple Pro,18,7200,512,SATA,3.5,CMR,Surveillance,yes,medium,
WD221PURP,WD,Purple Pro,22,7200,512,SATA,3.5,CMR,Surveillance,yes,medium,
ST1000VN002,Seagate,IronWolf,1,5900,64,SATA,3.5,CMR,NAS,yes,medium,
ST2000VN003,Seagate,IronWolf,2,5400,256,SATA,3.5,CMR,NAS,yes,high,
ST3000VN006,Seagate,IronWolf,3,5400,256,SATA,3.5,CMR,NAS,yes,medium,
ST4000VN006,Seagate,IronWolf,4,5400,256,SATA,3.5,CMR,NAS,yes,high,
ST6000VN006,Seagate,IronWolf,6,5400,256,SATA,3.5,CMR,NAS,yes,high,
ST8000VN004,Seagate,IronWolf,8,7200,256,SATA,3.5,CMR,NAS,yes,high,
ST10000VN000,Seagate,IronWolf,10,7200,256,SATA,3.5,CMR,NAS,yes,medium,older SKU
ST12000VN0008,Seagate,IronWolf,12,7200,256,SATA,3.5,CMR,NAS,yes,high,
ST2000NT001,Seagate,IronWolf Pro,2,7200,256,SATA,3.5,CMR,NAS-Pro,yes,medium,
ST4000NT001,Seagate,IronWolf Pro,4,7200,256,SATA,3.5,CMR,NAS-Pro,yes,medium,
ST6000NT001,Seagate,IronWolf Pro,6,7200,256,SATA,3.5,CMR,NAS-Pro,yes,medium,
ST8000NT001,Seagate,IronWolf Pro,8,7200,256,SATA,3.5,CMR,NAS-Pro,yes,high,
ST10000NT001,Seagate,IronWolf Pro,10,7200,256,SATA,3.5,CMR,NAS-Pro,yes,medium,
ST12000NT001,Seagate,IronWolf Pro,12,7200,256,SATA,3.5,CMR,NAS-Pro,yes,high,
ST14000NT001,Seagate,IronWolf Pro,14,7200,256,SATA,3.5,CMR,NAS-Pro,yes,high,
ST16000NT001,Seagate,IronWolf Pro,16,7200,256,SATA,3.5,CMR,NAS-Pro,yes,high,
ST18000NT001,Seagate,IronWolf Pro,18,7200,256,SATA,3.5,CMR,NAS-Pro,yes,high,
ST20000NT001,Seagate,IronWolf Pro,20,7200,256,SATA,3.5,CMR,NAS-Pro,yes,high,
ST22000NT001,Seagate,IronWolf Pro,22,7200,512,SATA,3.5,CMR,NAS-Pro,yes,high,
ST24000NT002,Seagate,IronWolf Pro,24,7200,512,SATA,3.5,CMR,NAS-Pro,yes,medium,
ST8000NM000A,Seagate,Exos 7E8,8,7200,256,SATA,3.5,CMR,Enterprise,yes,medium,
ST8000NM017B,Seagate,Exos 7E10,8,7200,256,SATA,3.5,CMR,Enterprise,yes,medium,
ST10000NM019B,Seagate,Exos 7E10,10,7200,256,SATA,3.5,CMR,Enterprise,yes,medium,
ST16000NM001G,Seagate,Exos X16,16,7200,256,SATA,3.5,CMR,Enterprise,yes,high,
ST18000NM000J,Seagate,Exos X18,18,7200,256,SATA,3.5,CMR,Enterprise,yes,high,
ST20000NM007D,Seagate,Exos X20,20,7200,256,SATA,3.5,CMR,Enterprise,yes,high,
ST22000NM001E,Seagate,Exos X22,22,7200,512,SATA,3.5,CMR,Enterprise,yes,medium,
ST24000NM002H,Seagate,Exos X24,24,7200,512,SATA,3.5,CMR,Enterprise,yes,medium,
ST16000NM002G,Seagate,Exos X16,16,7200,256,SAS,3.5,CMR,Enterprise,yes,medium,SAS variant
ST18000NM004J,Seagate,Exos X18,18,7200,256,SAS,3.5,CMR,Enterprise,yes,medium,SAS variant
ST1000VX013,Seagate,SkyHawk,1,5900,64,SATA,3.5,CMR,Surveillance,yes,medium,
ST2000VX017,Seagate,SkyHawk,2,5400,256,SATA,3.5,CMR,Surveillance,yes,medium,
ST4000VX016,Seagate,SkyHawk,4,5900,256,SATA,3.5,CMR,Surveillance,yes,medium,
ST6000VX009,Seagate,SkyHawk,6,5400,256,SATA,3.5,CMR,Surveillance,yes,medium,
ST8000VX010,Seagate,SkyHawk,8,7200,256,SATA,3.5,CMR,Surveillance,yes,medium,
ST8000VE001,Seagate,SkyHawk AI,8,7200,256,SATA,3.5,CMR,Surveillance,yes,medium,
ST12000VE001,Seagate,SkyHawk AI,12,7200,256,SATA,3.5,CMR,Surveillance,yes,medium,
ST16000VE002,Seagate,SkyHawk AI,16,7200,256,SATA,3.5,CMR,Surveillance,yes,medium,
ST18000VE002,Seagate,SkyHawk AI,18,7200,256,SATA,3.5,CMR,Surveillance,yes,medium,
ST20000VE002,Seagate,SkyHawk AI,20,7200,512,SATA,3.5,CMR,Surveillance,yes,medium,
ST24000VE002,Seagate,SkyHawk AI,24,7200,512,SATA,3.5,CMR,Surveillance,yes,low,newest verify
HDWG440,Toshiba,N300,4,7200,256,SATA,3.5,CMR,NAS,yes,high,
HDWG460,Toshiba,N300,6,7200,256,SATA,3.5,CMR,NAS,yes,high,
HDWG480,Toshiba,N300,8,7200,256,SATA,3.5,CMR,NAS,yes,high,
HDWG11A,Toshiba,N300,10,7200,256,SATA,3.5,CMR,NAS,yes,medium,
HDWG21C,Toshiba,N300,12,7200,256,SATA,3.5,CMR,NAS,yes,high,
HDWG31G,Toshiba,N300,14,7200,256,SATA,3.5,CMR,NAS,yes,high,
HDWG51G,Toshiba,N300,16,7200,512,SATA,3.5,CMR,NAS,yes,high,
MG06ACA600E,Toshiba,MG06,6,7200,256,SATA,3.5,CMR,Enterprise,yes,medium,
MG06ACA800E,Toshiba,MG06,8,7200,256,SATA,3.5,CMR,Enterprise,yes,medium,
MG06ACA10TE,Toshiba,MG06,10,7200,256,SATA,3.5,CMR,Enterprise,yes,medium,
MG07ACA12TE,Toshiba,MG07,12,7200,256,SATA,3.5,CMR,Enterprise,yes,high,
MG07ACA14TE,Toshiba,MG07,14,7200,256,SATA,3.5,CMR,Enterprise,yes,high,
MG08ACA16Tx,Toshiba,MG08,16,7200,512,SATA,3.5,CMR,Enterprise,yes,high,Backblaze AFR; merged SKUs TA/TE
MG09ACA18TE,Toshiba,MG09,18,7200,512,SATA,3.5,CMR,Enterprise,yes,high,
MG10ACA20TE,Toshiba,MG10,20,7200,512,SATA,3.5,CMR,Enterprise,yes,medium,
MG10AFA22TE,Toshiba,MG10,22,7200,512,SATA,3.5,CMR,Enterprise,yes,medium,
MG07SCA14TE,Toshiba,MG07,14,7200,256,SAS,3.5,CMR,Enterprise,yes,medium,SAS variant
MG09SCA18TE,Toshiba,MG09,18,7200,512,SAS,3.5,CMR,Enterprise,yes,medium,SAS variant
HDWR440,Toshiba,X300,4,7200,256,SATA,3.5,CMR,Desktop,yes,medium,
HDWR460,Toshiba,X300,6,7200,256,SATA,3.5,CMR,Desktop,yes,medium,
HDWR480,Toshiba,X300,8,7200,256,SATA,3.5,CMR,Desktop,yes,medium,
HDWR11A,Toshiba,X300,10,7200,256,SATA,3.5,CMR,Desktop,yes,medium,
HDWR21C,Toshiba,X300,12,7200,256,SATA,3.5,CMR,Desktop,yes,medium,
HDWR31G,Toshiba,X300,14,7200,256,SATA,3.5,CMR,Desktop,yes,medium,
WD20EZAZ,WD,Blue,2,5400,256,SATA,3.5,SMR,Desktop,yes,high,SMR blacklist
WD40EZAZ,WD,Blue,4,5400,256,SATA,3.5,SMR,Desktop,yes,high,SMR blacklist
WD60EZAZ,WD,Blue,6,5400,256,SATA,3.5,SMR,Desktop,yes,high,SMR blacklist
WD40EZAX,WD,Blue,4,5400,256,SATA,3.5,SMR,Desktop,yes,medium,newer SMR blacklist
WD60EZAX,WD,Blue,6,5400,256,SATA,3.5,SMR,Desktop,yes,medium,newer SMR blacklist
WD20EFAX,WD,Red,2,5400,256,SATA,3.5,SMR,NAS,yes,low,superseded by Red Plus SMR blacklist
WD30EFAX,WD,Red,3,5400,256,SATA,3.5,SMR,NAS,yes,low,superseded SMR blacklist
WD40EFAX,WD,Red,4,5400,256,SATA,3.5,SMR,NAS,yes,low,superseded SMR blacklist
WD60EFAX,WD,Red,6,5400,256,SATA,3.5,SMR,NAS,yes,low,superseded SMR blacklist
ST2000DM008,Seagate,BarraCuda,2,7200,256,SATA,3.5,SMR,Desktop,yes,high,SMR blacklist
ST3000DM007,Seagate,BarraCuda,3,5400,256,SATA,3.5,SMR,Desktop,yes,medium,SMR blacklist
ST4000DM004,Seagate,BarraCuda,4,5400,256,SATA,3.5,SMR,Desktop,yes,high,SMR blacklist
ST6000DM003,Seagate,BarraCuda,6,5400,256,SATA,3.5,SMR,Desktop,yes,medium,SMR blacklist
ST8000DM004,Seagate,BarraCuda,8,5400,256,SATA,3.5,SMR,Desktop,yes,high,SMR blacklist
HDWD240,Toshiba,P300,4,5400,128,SATA,3.5,SMR,Desktop,yes,medium,SMR blacklist
HDWD260,Toshiba,P300,6,5400,128,SATA,3.5,SMR,Desktop,yes,medium,SMR blacklist
DT02ABA400,Toshiba,DT02,4,5400,128,SATA,3.5,SMR,Desktop,yes,medium,SMR blacklist
DT02ABA600,Toshiba,DT02,6,5400,128,SATA,3.5,SMR,Desktop,yes,medium,SMR blacklist
WUH722626ALE6L4,WD,Ultrastar DC HC590,26,7200,512,SATA,3.5,CMR,Enterprise,yes,high,Backblaze AFR
MG11ACA24TE,Toshiba,MG11,24,7200,512,SATA,3.5,CMR,Enterprise,yes,high,Backblaze AFR
MG09ACA16TE,Toshiba,MG09,16,7200,512,SATA,3.5,CMR,Enterprise,yes,high,Backblaze AFR
